sampno,latitude,longitude,GEOID,latitude_work,longitude_work,GEOID_work,hh_income,hh_veh,own_home,race,has_children,hhsize,w_travel,wthhfin,comm_id_home,comm_id_work
30004145,41.93631,-87.651562,17031063000,41.880986,-87.63307,17031839100,180000.0,1,True,3,True,3,5,71.2025,6,32.0
30004239,41.885674,-87.69872,17031837100,42.044784,-87.672522,17031809400,10000.0,0,False,1,False,1,3,612.0355,27,
30004261,41.946698,-87.639064,17031061902,41.840676,-87.943904,17043844601,180000.0,1,True,1,False,2,5,615.1949,6,
30004389,41.930652,-87.674104,17031070700,41.868458,-87.642965,17031841900,180000.0,2,True,1,False,2,4,231.5942,7,28.0
30004407,41.964514,-87.702847,17031140800,41.886447,-87.619467,17031320100,125000.0,1,True,1,False,2,5,74.8233,14,32.0
30004621,41.870554,-87.616596,17031320600,41.785981,-87.7509,17031980100,125000.0,0,False,1,False,1,4,106.9531,32,56.0
30005363,41.912908,-87.775394,17031250400,41.906707,-87.684686,17031241200,55000.0,1,False,2,True,2,-1,662.6029,25,24.0
30005724,41.681416,-87.702771,17031823304,41.683404,-87.574061,17031838800,55000.0,1,False,2,False,1,4,452.1969,75,51.0
30005783,42.009412,-87.663958,17031010501,41.899737,-87.664954,17031242000,67500.0,0,False,1,False,2,5,73.6225,1,24.0
30005804,41.964652,-87.721017,17031140602,41.972545,-87.678818,17031040402,32500.0,1,True,1,True,3,6,662.6029,14,4.0
30005910,41.930652,-87.674104,17031070700,41.880986,-87.63307,17031839100,180000.0,2,True,1,False,2,5,127.7079,7,32.0
30005922,41.855562,-87.683342,17031841200,41.985435,-87.86942,17031770700,125000.0,1,False,1,False,2,5,68.4132,31,76.0
30005927,41.926155,-87.721565,17031220701,41.942129,-87.902983,17031811701,42500.0,2,False,1,True,4,4,615.7184,22,
30005956,41.978875,-87.657871,17031030703,41.908374,-87.67093,17031241500,67500.0,1,False,1,False,2,4,75.3737,77,24.0
30006014,41.859295,-87.615523,17031330100,41.893324,-87.63919,17031081800,180000.0,1,True,1,False,2,5,609.815,33,8.0
30006046,41.941628,-87.661443,17031062300,42.058204,-87.671892,17031808702,180000.0,1,False,1,False,2,5,82.9845,6,
30006139,41.859295,-87.615523,17031330100,41.858781,-87.845006,17031817900,55000.0,1,False,6,False,1,6,77.3036,33,
30006228,41.964647,-87.725891,17031140601,42.03761,-87.888892,17031806202,180000.0,2,True,1,True,4,5,74.5743,14,
30006255,41.797831,-87.603742,17031410500,41.790469,-87.601285,17031836200,20000.0,2,False,1,False,2,5,115.3031,41,41.0
30006468,41.748627,-87.601451,17031440101,41.859295,-87.615523,17031330100,10000.0,1,False,2,False,1,4,114.5492,44,33.0
30006537,41.942577,-87.647079,17031062000,41.985435,-87.86942,17031770700,82500.0,1,False,6,False,2,5,68.6589,6,76.0
30006808,41.859295,-87.615523,17031330100,41.880986,-87.63307,17031839100,125000.0,1,False,3,False,2,4,386.618,33,32.0
30006886,41.906323,-87.72154,17031230700,41.979419,-87.902438,17031980000,125000.0,2,False,1,True,5,6,615.7184,23,76.0
30006991,41.926155,-87.721565,17031220701,41.880986,-87.63307,17031839100,67500.0,3,True,1,False,1,5,69.0442,22,32.0
30007131,41.973765,-87.64653,17031031300,41.880986,-87.63307,17031839100,67500.0,1,False,1,False,1,4,73.6225,3,32.0
30007142,41.929046,-87.65131,17031070300,41.875817,-87.617256,17031320400,125000.0,1,False,1,True,4,5,610.9921,7,32.0
30007326,41.891022,-87.612931,17031081402,41.868458,-87.642965,17031841900,32500.0,0,False,3,False,2,5,174.7628,8,28.0
30007584,41.915741,-87.692256,17031832400,42.031579,-88.044607,17031804609,125000.0,2,False,1,False,2,5,247.6474,22,
30008281,41.787227,-87.577462,17031411000,41.790469,-87.601285,17031836200,55000.0,0,False,1,False,1,5,910.5709,41,41.0
30008346,41.989584,-87.783014,17031100100,41.994532,-87.757611,17031120200,82500.0,1,True,1,False,1,5,155.2391,10,12.0
30008684,41.886447,-87.619467,17031320100,41.790562,-87.594017,17031411200,125000.0,0,False,1,True,3,-1,246.5698,32,41.0
30009239,41.921779,-87.641458,17031071300,41.957904,-87.671517,17031060200,55000.0,1,False,3,True,4,5,168.9807,7,6.0
30009311,41.885286,-87.657249,17031833000,41.987476,-87.769673,17031110100,42500.0,2,True,1,False,2,5,615.7184,28,11.0
30009631,41.975291,-87.783235,17031110300,41.840983,-87.697566,17031843500,42500.0,2,True,1,False,2,3,655.7288,11,30.0
30009945,41.908374,-87.67093,17031241500,41.900846,-87.818928,17031811900,125000.0,2,False,1,False,2,5,136.7415,24,
30010281,41.899506,-87.6796,17031242300,41.886447,-87.619467,17031320100,42500.0,1,False,6,False,2,5,69.2019,24,32.0
30010796,41.971537,-87.738943,17031140400,42.089417,-87.858924,17031801607,67500.0,2,True,1,False,2,5,438.0169,14,
30010963,41.892218,-87.631832,17031081700,41.878635,-87.642924,17031281900,82500.0,1,False,1,False,2,5,69.4048,8,28.0
30011987,41.972954,-87.772611,17031110400,41.899154,-87.626212,17031081201,82500.0,2,True,1,False,2,5,134.3402,11,8.0
30012023,41.949709,-87.752118,17031150800,41.988702,-87.804403,17031100300,82500.0,1,True,1,False,2,5,503.9859,15,10.0
70000026,41.879078,-87.657046,17031833100,41.880986,-87.63307,17031839100,125000.0,0,True,1,False,2,5,75.1875,28,32.0
70000027,41.958154,-87.653018,17031032100,41.886447,-87.619467,17031320100,20000.0,0,False,1,False,1,5,73.9139,3,32.0
70000032,41.935055,-87.737623,17031200100,41.880986,-87.63307,17031839100,42500.0,1,True,1,False,1,5,258.3145,20,32.0
70000039,41.972545,-87.678818,17031040402,41.880986,-87.63307,17031839100,125000.0,1,False,1,True,3,5,74.0981,4,32.0
70000052,42.016051,-87.673322,17031010202,41.892433,-87.669624,17031243200,125000.0,2,True,1,False,2,5,73.8448,1,24.0
70000057,41.787227,-87.577462,17031411000,41.875817,-87.617256,17031320400,125000.0,1,True,1,False,1,5,214.396,41,32.0
70000060,41.929078,-87.646293,17031070200,41.880986,-87.63307,17031839100,180000.0,1,True,1,False,2,5,69.2923,7,32.0
70000062,41.972545,-87.678818,17031040402,41.886447,-87.619467,17031320100,42500.0,0,False,1,False,1,5,73.6225,4,32.0
70000079,41.942691,-87.65177,17031062100,41.953578,-87.949264,17043840802,180000.0,1,False,1,False,3,5,603.5402,6,
70000080,41.938232,-87.64678,17031063100,41.869903,-87.631213,17031839000,180000.0,1,True,1,True,3,5,70.6194,6,32.0
70000081,41.972548,-87.723789,17031140302,41.880986,-87.63307,17031839100,125000.0,1,True,1,False,1,5,73.6225,14,32.0
70000086,41.966834,-87.684018,17031040600,41.967011,-87.670621,17031031800,125000.0,0,False,1,False,2,5,75.4477,4,3.0
70000091,41.94988,-87.738155,17031161100,41.878635,-87.642924,17031281900,180000.0,1,True,1,True,4,7,74.813,16,28.0
70000103,41.93466,-87.64673,17031063400,41.790469,-87.601285,17031836200,180000.0,1,True,1,True,3,5,71.865,6,41.0
70000104,41.880986,-87.63307,17031839100,41.61414,-88.229585,17197880404,125000.0,1,False,6,False,2,5,69.9349,32,
70000110,41.928396,-87.704911,17031220500,41.868458,-87.642965,17031841900,67500.0,0,False,1,False,1,5,68.4853,22,28.0
70000114,41.963974,-87.691821,17031040800,42.006411,-87.658816,17031010400,180000.0,2,True,1,True,5,5,662.6029,4,1.0
70000120,41.994441,-87.66523,17031030200,42.19025,-87.93268,17097864521,67500.0,1,True,1,False,1,5,73.8131,77,
70000145,41.973765,-87.64653,17031031300,41.878635,-87.642924,17031281900,180000.0,1,True,1,False,2,5,74.334,3,28.0
70000157,41.701114,-87.539563,17031520300,41.874181,-87.661901,17031832900,67500.0,3,True,-8,True,4,5,1024.2969,52,28.0
70000158,41.92102,-87.710361,17031221100,41.790469,-87.601285,17031836200,125000.0,1,True,1,False,2,5,69.3159,22,41.0
70000180,41.841718,-87.643932,17031600400,41.880986,-87.63307,17031839100,27500.0,1,False,1,False,1,5,180.6024,60,32.0
70000194,41.684615,-87.671233,17031750500,41.880986,-87.63307,17031839100,180000.0,1,True,1,True,3,5,114.5328,75,32.0
70000196,41.842806,-87.635788,17031340300,41.979419,-87.902438,17031980000,82500.0,2,True,3,False,4,5,140.8933,34,76.0
70000279,41.908374,-87.67093,17031241500,41.880986,-87.63307,17031839100,125000.0,0,True,1,True,3,5,72.0181,24,32.0
70000377,41.912867,-87.641072,17031071700,41.892218,-87.631832,17031081700,125000.0,1,True,1,True,3,5,71.4786,7,8.0
70000381,41.963633,-87.652366,17031031502,41.859295,-87.615523,17031330100,20000.0,1,False,1,True,2,3,73.6225,3,33.0
70000416,41.899422,-87.68449,17031242400,41.542587,-87.684336,17031829800,125000.0,1,False,1,False,1,5,349.9903,24,
70000439,41.978875,-87.657871,17031030703,41.878635,-87.642924,17031281900,82500.0,1,False,1,False,2,5,73.6225,77,28.0
70000513,41.935442,-87.680959,17031051400,42.193793,-87.81727,17097865400,125000.0,0,True,1,False,2,5,73.6225,5,
70000881,42.015941,-87.666535,17031010300,41.868458,-87.642965,17031841900,42500.0,1,False,1,False,2,6,73.6225,1,28.0
70001004,41.942691,-87.65177,17031062100,41.97907,-88.014274,17043840201,180000.0,1,True,1,True,3,4,97.2957,6,
70001029,41.971537,-87.738943,17031140400,42.043217,-88.286603,17089854600,125000.0,1,True,1,True,5,5,73.6225,14,
70001200,41.916472,-87.641182,17031071600,41.875817,-87.617256,17031320400,180000.0,1,True,1,True,4,5,74.2787,7,32.0
70001308,41.967011,-87.670621,17031031800,41.987226,-87.664936,17031030500,180000.0,2,True,1,True,4,-1,534.7938,3,77.0
70001383,41.942691,-87.65177,17031062100,41.885286,-87.657249,17031833000,55000.0,0,False,1,False,3,5,72.3747,6,28.0
70001480,41.914618,-87.796796,17031250500,41.898546,-87.941054,17043842900,180000.0,3,True,1,True,5,5,662.6029,25,
70001502,41.928465,-87.695086,17031220300,41.880986,-87.63307,17031839100,55000.0,1,True,4,False,2,5,69.2255,22,32.0
70001507,41.880986,-87.63307,17031839100,41.892218,-87.631832,17031081700,180000.0,0,False,1,False,2,5,71.4851,32,8.0
70001515,41.950447,-87.683507,17031050500,41.868458,-87.642965,17031841900,82500.0,2,True,1,False,3,5,145.4076,5,28.0
70001537,41.928396,-87.704911,17031220500,41.886447,-87.619467,17031320100,55000.0,1,False,1,False,2,5,68.9939,22,32.0
70001630,41.95921,-87.712973,17031160501,41.930652,-87.674104,17031070700,125000.0,2,True,1,True,4,-1,443.6172,16,7.0
70001718,41.972067,-87.686082,17031040401,41.880986,-87.63307,17031839100,180000.0,1,True,1,False,2,5,73.6225,4,32.0
70001906,41.941807,-87.796524,17031171000,42.298562,-87.982682,17097863603,125000.0,2,True,1,True,4,5,662.6029,17,
70001912,41.906692,-87.71035,17031230900,41.90584,-87.714953,17031230800,55000.0,0,False,1,False,1,5,146.1643,23,23.0
70001914,41.915321,-87.73226,17031831200,41.880986,-87.63307,17031839100,82500.0,1,True,1,False,2,5,68.6496,20,32.0
70001927,41.942856,-87.717496,17031831100,41.979419,-87.902438,17031980000,125000.0,5,True,4,True,3,6,608.5125,21,76.0
70001932,41.972437,-87.671109,17031031000,41.886447,-87.619467,17031320100,180000.0,2,True,1,True,4,4,550.8386,3,32.0
